ability,[sound:audio_availability.mp3],capacidad,She has the ability to solve problems.,Ella tiene la capacidad de resolver problemas.,[sound:audio_example_ability.mp3]
abroad,[sound:audio_abroad.mp3],en el extranjero,He went abroad to study.,Se fue al extranjero a estudiar.,[sound:audio_example_abroad.mp3]
absolutely,[sound:audio_absolutely.mp3],absolutamente,She absolutely loves her new job.,Ella le encanta su nuevo trabajo.,[sound:audio_example_absolutely.mp3]
accept,[sound:audio_accept.mp3],aceptar,She accepts the invitation.,Ella acepta la invitación.,[sound:audio_example_accept.mp3]
access,[sound:audio_access.mp3],acceso,They have access to the internet.,Tienen acceso a Internet.,[sound:audio_example_access.mp3]
accessible,[sound:audio_accessible.mp3],accesible,The building is accessible to all.,El edificio es accesible para todos.,[sound:audio_example_accessible.mp3]
accident,[sound:audio_accident.mp3],accidente,He had a minor accident.,Tuvo un menor accidente.,[sound:audio_example_accident.mp3]
accommodate,[sound:audio_accommodate.mp3],acomodar,The hotel can accommodate guests.,El hotel puede acomodar a los huéspedes.,[sound:audio_example_accommodate.mp3]
accommodation,[sound:audio_accommodation.mp3],alojamiento,They found affordable accommodation.,Encontraron alojamiento asequible.,[sound:audio_example_accommodation.mp3]
accomplish,[sound:audio_accomplish.mp3],lograr,She will accomplish her goals.,Ella logrará sus objetivos.,[sound:audio_example_accomplish.mp3]
accomplishment,[sound:audio_accomplishment.mp3],logro,Winning was a great accomplishment.,Ganar fue un gran logro.,[sound:audio_example_accomplishment.mp3]
according,[sound:audio_according.mp3],de acuerdo a,She acted according to instructions.,Ella actuó de acuerdo con las instrucciones.,[sound:audio_example_according.mp3]
accordingly,[sound:audio_accordingly.mp3],respectivamente,He responded accordingly.,Él respondió en consecuencia.,[sound:audio_example_accordingly.mp3]
accounting,[sound:audio_accounting.mp3],contabilidad,She studies accounting at university.,Ella estudia contabilidad en la universidad.,[sound:audio_example_accounting.mp3]
accurate,[sound:audio_accurate.mp3],preciso,The measurement is accurate.,La medición es precisa.,[sound:audio_example_accurate.mp3]
achieve,[sound:audio_achieve.mp3],lograr,He will achieve success.,Logrará el éxito.,[sound:audio_example_achieve.mp3]
acquire,[sound:audio_acquire.mp3],adquirir,They hope to acquire new skills.,Esperan adquirir nuevas habilidades.,[sound:audio_example_acquire.mp3]
act,[sound:audio_act.mp3],acto,She will act on the plan.,Ella actuará en el plan.,[sound:audio_example_act.mp3]
actually,[sound:audio_actually.mp3],de hecho,She actually enjoys challenges.,Ella realmente disfruta de los desafíos.,[sound:audio_example_actually.mp3]
adapt,[sound:audio_adapt.mp3],adaptar,He can adapt to changes.,Puede adaptarse a los cambios.,[sound:audio_example_adapt.mp3]
adapter,[sound:audio_adapter.mp3],adaptador,The adapter connects his device.,El adaptador conecta su dispositivo.,[sound:audio_example_adapter.mp3]
additional,[sound:audio_additional.mp3],adicional,They requested additional help.,Solicitaron ayuda adicional.,[sound:audio_example_additional.mp3]
adequate,[sound:audio_adequate.mp3],adecuado,The food was adequate.,La comida era adecuada.,[sound:audio_example_adequate.mp3]
adjust,[sound:audio_adjust.mp3],ajustar,He needs to adjust his tie.,Necesita ajustar su corbata.,[sound:audio_example_adjust.mp3]
adjustment,[sound:audio_adjustment.mp3],ajuste,A small adjustment improved the fit.,Un pequeño ajuste mejoró el ajuste.,[sound:audio_example_adjustment.mp3]
administration,[sound:audio_administration.mp3],administración,The administration approved the plan.,La administración aprobó el plan.,[sound:audio_example_administration.mp3]
admire,[sound:audio_admire.mp3],admirar,She truly admires her mentor.,Ella realmente admira a su mentor.,[sound:audio_example_admire.mp3]
admit,[sound:audio_admit.mp3],admitir,He will admit his mistake.,Admitirá su error.,[sound:audio_example_admit.mp3]
admittance,[sound:audio_admittance.mp3],entrada,Admittance is free on weekends.,La admisión es gratuita los fines de semana.,[sound:audio_example_admittance.mp3]
advance,[sound:audio_advance.mp3],avance,They plan to advance the project.,Planean avanzar en el proyecto.,[sound:audio_example_advance.mp3]
advanced,[sound:audio_advanced.mp3],avanzado,She took an advanced course.,Ella tomó un curso avanzado.,[sound:audio_example_advanced.mp3]
advantage,[sound:audio_advantage.mp3],ventaja,Having a degree is an advantage.,Tener un título es una ventaja.,[sound:audio_example_advantage.mp3]
advantageous,[sound:audio_advantageous.mp3],ventajoso,It is advantageous to be prepared.,Es ventajoso estar preparado.,[sound:audio_example_advantageous.mp3]
advertise,[sound:audio_advertise.mp3],anunciar,They will advertise the event.,Anunciarán el evento.,[sound:audio_example_advertise.mp3]
advertisement,[sound:audio_advertisement.mp3],anuncio,The advertisement is clear.,El anuncio es claro.,[sound:audio_example_advertisement.mp3]
advice,[sound:audio_advice.mp3],consejo,She gave me good advice.,Ella me dio buenos consejos.,[sound:audio_example_advice.mp3]
advise,[sound:audio_advise.mp3],aconsejar,I advise you to study.,Te aconsejo que estudien.,[sound:audio_example_advise.mp3]
affect,[sound:audio_affect.mp3],afectar,The news may affect his mood.,La noticia puede afectar su estado de ánimo.,[sound:audio_example_affect.mp3]
afford,[sound:audio_afford.mp3],poder pagar,They cannot afford a new car.,No pueden permitirse un auto nuevo.,[sound:audio_example_afford.mp3]
affordable,[sound:audio_affordable.mp3],asequible,The store offers affordable prices.,La tienda ofrece precios asequibles.,[sound:audio_example_affordable.mp3]
agency,[sound:audio_agency.mp3],agencia,The agency arranged the tour.,La agencia organizó la gira.,[sound:audio_example_agency.mp3]
agenda,[sound:audio_agenda.mp3],orden del día,The meeting agenda is set.,La agenda de la reunión está establecida.,[sound:audio_example_agenda.mp3]
agree,[sound:audio_agree.mp3],aceptar,They agree on the decision.,Están de acuerdo en la decisión.,[sound:audio_example_agree.mp3]
agreeable,[sound:audio_agreeable.mp3],agradable,The weather is agreeable today.,El clima es agradable hoy.,[sound:audio_example_agreeable.mp3]
agreement,[sound:audio_agreement.mp3],acuerdo,They reached an agreement.,Llegaron a un acuerdo.,[sound:audio_example_agreement.mp3]
agricultural,[sound:audio_agricultural.mp3],agrícola,The area is known for agricultural produce.,El área es conocida por los productos agrícolas.,[sound:audio_example_agricultural.mp3]
aid,[sound:audio_aid.mp3],ayuda,They sent aid to the victims.,Enviaron ayuda a las víctimas.,[sound:audio_example_aid.mp3]
aim,[sound:audio_aim.mp3],apuntar,Her aim is to succeed.,Su objetivo es tener éxito.,[sound:audio_example_aim.mp3]
airline,[sound:audio_airline.mp3],aerolínea,The airline offers direct flights.,La aerolínea ofrece vuelos directos.,[sound:audio_example_airline.mp3]
aisle,[sound:audio_aisle.mp3],pasillo,She walked down the aisle.,Ella caminó por el pasillo.,[sound:audio_example_aisle.mp3]
alarm,[sound:audio_alarm.mp3],alarma,The alarm rang loudly.,La alarma sonó en voz alta.,[sound:audio_example_alarm.mp3]
allow,[sound:audio_allow.mp3],permitir,They allow pets in the building.,Permiten mascotas en el edificio.,[sound:audio_example_allow.mp3]
alternative,[sound:audio_alternative.mp3],alternativa,He suggested an alternative plan.,Sugirió un plan alternativo.,[sound:audio_example_alternative.mp3]
ambitious,[sound:audio_ambitious.mp3],ambicioso,She is very ambitious.,Ella es muy ambiciosa.,[sound:audio_example_ambitious.mp3]
amend,[sound:audio_amend.mp3],enmendar,They decided to amend the rules.,Decidieron enmendar las reglas.,[sound:audio_example_amend.mp3]
amount,[sound:audio_amount.mp3],cantidad,The total amount is $50.,El monto total es de $ 50.,[sound:audio_example_amount.mp3]
amusing,[sound:audio_amusing.mp3],divertido,The story was amusing.,La historia fue divertida.,[sound:audio_example_amusing.mp3]
analysis,[sound:audio_analysis.mp3],análisis,Her analysis was clear.,Su análisis fue claro.,[sound:audio_example_analysis.mp3]
analyze,[sound:audio_analyze.mp3],analizar,He will analyze the data.,Analizará los datos.,[sound:audio_example_analyze.mp3]
announcement,[sound:audio_announcement.mp3],anuncio,The announcement was made today.,El anuncio se hizo hoy.,[sound:audio_example_announcement.mp3]
annoying,[sound:audio_annoying.mp3],molesto,The noise is annoying.,El ruido es molesto.,[sound:audio_example_annoying.mp3]
annual,[sound:audio_annual.mp3],anual,The annual meeting is tomorrow.,La reunión anual es mañana.,[sound:audio_example_annual.mp3]
anticipate,[sound:audio_anticipate.mp3],anticipar,We anticipate good results.,Anticipamos buenos resultados.,[sound:audio_example_anticipate.mp3]
anxious,[sound:audio_anxious.mp3],ansioso,She feels anxious before exams.,Se siente ansiosa antes de los exámenes.,[sound:audio_example_anxious.mp3]
apologize,[sound:audio_apologize.mp3],disculparse,He will apologize for his mistake.,Se disculpará por su error.,[sound:audio_example_apologize.mp3]
appeal,[sound:audio_appeal.mp3],apelar,The charity has great appeal.,La organización benéfica tiene un gran atractivo.,[sound:audio_example_appeal.mp3]
appetizer,[sound:audio_appetizer.mp3],aperitivo,They served a tasty appetizer.,Sirvieron un sabroso aperitivo.,[sound:audio_example_appetizer.mp3]
appliance,[sound:audio_appliance.mp3],aparato,The new appliance saves energy.,El nuevo aparato ahorra energía.,[sound:audio_example_appliance.mp3]
applicant,[sound:audio_applicant.mp3],solicitante,The applicant submitted his resume.,El solicitante presentó su currículum.,[sound:audio_example_applicant.mp3]
application,[sound:audio_application.mp3],solicitud,Her application was approved.,Su solicitud fue aprobada.,[sound:audio_example_application.mp3]
apply,[sound:audio_apply.mp3],aplicar,She will apply for the job.,Ella solicitará el trabajo.,[sound:audio_example_apply.mp3]
appoint,[sound:audio_appoint.mp3],nombrar,They appoint a new leader.,Nombran a un nuevo líder.,[sound:audio_example_appoint.mp3]
appointment,[sound:audio_appointment.mp3],cita,He has an appointment at 3 PM.,Tiene una cita a las 3 pm.,[sound:audio_example_appointment.mp3]
appreciable,[sound:audio_appreciable.mp3],apreciable,There was an appreciable improvement.,Hubo una mejora apreciable.,[sound:audio_example_appreciable.mp3]
appreciate,[sound:audio_appreciate.mp3],agradecer,I appreciate your help.,Agradezco tu ayuda.,[sound:audio_example_appreciate.mp3]
appreciation,[sound:audio_appreciation.mp3],apreciación,Her appreciation was heartfelt.,Su aprecio fue sincero.,[sound:audio_example_appreciation.mp3]
appreciative,[sound:audio_appreciative.mp3],agradecido,He is appreciative of support.,Agradece el apoyo.,[sound:audio_example_appreciative.mp3]
apprentice,[sound:audio_apprentice.mp3],aprendiz,She works as an apprentice.,Ella trabaja como aprendiz.,[sound:audio_example_apprentice.mp3]
